noise_level,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std
0.0,0.002957432,0.0014961056,25.846909840369527,2.2804687137282875,0.9650954269161466,0.018158909129543283
0.5,0.002934543,0.0014913513,25.886138153341886,2.293056777344927,0.9653620268637813,0.01804343777652782
1.0,0.0029156262,0.0014864402,25.918132108120666,2.3021255222405026,0.9655746502822825,0.01793516654958554
1.5,0.0029004887,0.0014822491,25.943790358225304,2.309196806569873,0.9657474999126245,0.01783847853561081
2.0,0.0028865978,0.0014798018,25.968180766662417,2.3173203616447346,0.9659025618618466,0.01774222451143472
2.5,0.0028780117,0.0014756208,25.981858215306218,2.319823224301488,0.9659833045904563,0.01765789651659427
3.0,0.0028732873,0.0014737415,25.990256411809487,2.3234447433102106,0.9660141939852459,0.017623178263718526
3.5000000000000004,0.0028710023,0.0014722256,25.99362635984826,2.323877597369912,0.9660167211383952,0.017535604547640055
4.0,0.0028711392,0.0014711907,25.992393940435228,2.3220255881769565,0.9660109306198905,0.01746628848675957
4.5,0.0028724617,0.0014696005,25.98867554384985,2.3183379609213737,0.9659402121305449,0.01741156163520778
5.0,0.0028801512,0.0014713577,25.975294956435576,2.314095547105079,0.9658212046673686,0.017408065041715652
5.5,0.0028856543,0.0014688562,25.963303121241097,2.30642917354506,0.9657107065018994,0.017390452376765557
6.0,0.0028989753,0.0014693713,25.939732046137244,2.300823511122324,0.9655102297907968,0.017262781078975765
6.5,0.00290959,0.0014702261,25.91874959622308,2.288309699118075,0.9653374790067575,0.017311859464872934
7.000000000000001,0.0029266975,0.0014740733,25.89023371355218,2.282693979872102,0.9650644280484839,0.017229564681241965
7.5,0.002941649,0.0014712038,25.86131823526627,2.268494746283113,0.9648509394770343,0.017229475290239906
8.0,0.0029640214,0.0014727348,25.822240068185504,2.2562424459109676,0.9645598263045128,0.017164092444638103
8.5,0.0029884938,0.0014791198,25.78107265593854,2.2434358094023503,0.9641100284429356,0.017326346054203547
9.0,0.0030174786,0.0014866807,25.732883387756477,2.2280833709297596,0.9636860564552325,0.01728775488937531
9.5,0.003047689,0.0014895503,25.682708197429513,2.2138637713500766,0.9632003977855654,0.01735596042912185
10.0,0.0030803045,0.0014932569,25.627832648969687,2.1936315254726657,0.9626544302308517,0.017357787909414626
